TMO_AN,TMO_VS,Mod_AN,Mod_MF,Support_AN,[NO3−],pH,potential,Mod_Method,Support_porous foam,Support_mesh,Support_fiber,Support_sheet,Morphology_particle,Morphology_sphere,Morphology_wire,Morphology_rod,Morphology_tube,Morphology_belt,Morphology_sheet,Faradaic efficiency
26,2.67,26,0,28,0.0144,7,-0.59,1,1,0,0,0,0,0,0,0,0,0,1,0.6708
26,2.67,26,0,6,0.1,13,-0.6,1,1,0,0,0,1,0,0,0,0,0,0,0.8323
26,2.67,26,0,26,0.1,13,-0.6,1,0,0,0,1,1,0,0,0,0,0,0,0.8841
26,2.67,29,0.061,6,0.1,13,-0.6,1,0,0,1,0,0,0,0,0,0,0,1,1
27,2.67,27,0,6,1,14,-0.3,1,0,0,1,0,0,1,0,0,0,0,0,0.8944
27,2.67,47,0.015,6,0.0144,7,-0.35,0,0,0,1,0,0,0,1,0,0,0,0,0.6757
27,2.67,27,0,27,0.1,7,-0.6,1,1,0,0,0,0,0,0,0,1,0,0,0.9996
27,2.67,47,0.015,6,0.0144,7,-0.55,0,0,0,1,0,0,0,1,0,0,0,0,0.9402
27,2.67,29,0.073,6,0.01,14,-0.3,1,0,0,1,0,0,1,0,0,0,0,0,0.4383
27,2.67,47,0.015,6,0.0144,7,-0.45,0,0,0,1,0,0,0,1,0,0,0,0,0.9212
27,2.67,26,0.0645,6,0.1,13,-0.4,1,1,0,0,0,0,0,1,0,0,0,0,0.8916
29,1,29,0,29,1,14,-0.3,1,1,0,0,0,0,0,1,0,0,0,0,0.4755
29,1,29,0,29,1,7,-0.1,1,1,0,0,0,0,0,1,0,0,0,0,0.2647
